Date,Open,High,Low,Close,High_Low_Diff,Volume
26/01/2015,254.078995,309.384003,254.078995,273.472992,55.305008,106794000
27/01/2015,273.166992,275.480011,250.653,263.475006,24.827011,44399000
28/01/2015,263.351013,266.535004,227.046005,233.914993,39.488999,44352200
29/01/2015,233.348007,238.705994,220.712006,233.513,17.993988,32213400
30/01/2015,232.772003,242.850998,225.839005,226.425003,17.011993,26605200
31/01/2015,226.440994,233.503998,216.309006,217.464005,17.194992,23348200
1/02/2015,216.867004,231.574005,212.014999,226.972,19.559006,29128500
2/02/2015,226.490997,242.175003,222.658997,238.229004,19.516006,30612100
3/02/2015,237.453995,245.957001,224.483002,227.268005,21.473999,40783700
4/02/2015,227.511002,230.057999,221.113007,226.852997,8.944992,26594300
5/02/2015,227.664993,239.404999,214.725006,217.110992,24.679993,22516400
6/02/2015,216.923004,230.509995,216.231995,222.266006,14.278,24435300
7/02/2015,222.632996,230.298996,222.606995,227.753998,7.692001,21604200
8/02/2015,227.692993,229.438004,221.076996,223.412003,8.361008,17145200
9/02/2015,223.389008,223.977005,217.018997,220.110001,6.958008,27791300
10/02/2015,220.281998,221.807007,215.332001,219.839005,6.475006,21115100
11/02/2015,219.731995,223.406006,218.074005,219.184998,5.332001,17201900
12/02/2015,219.207993,222.199005,217.613998,221.764008,4.585007,15206200
13/02/2015,221.968994,240.259003,221.261993,235.427002,18.99701,42744400
14/02/2015,235.528,259.808014,235.528,257.321014,24.280014,49732500
15/02/2015,257.506989,265.610992,227.684006,234.824997,37.926986,56552400
16/02/2015,234.824997,239.520996,229.022003,233.843002,10.498993,28153700
17/02/2015,233.421997,245.774994,232.313995,243.610001,13.460999,27363100
18/02/2015,243.779999,244.251007,232.339996,236.326004,11.911011,25200800
19/02/2015,236.410004,242.671997,235.591995,240.283005,7.080002,18270500
20/02/2015,240.251007,247.100998,239.298996,243.779007,7.802002,23876700
21/02/2015,243.751999,255.320007,243.184006,244.533997,12.136001,12284200
22/02/2015,244.544006,246.391998,233.850998,235.977005,12.541,19527000
23/02/2015,235.994995,240.108994,232.421005,238.891998,7.687989,16400000
24/02/2015,238.998001,239.901001,236.401993,238.735001,3.499008,14200400
25/02/2015,238.889999,239.339996,235.529999,237.470001,3.809997,11496200
26/02/2015,237.337006,237.710007,234.257004,236.425995,3.453003,13619400
27/02/2015,236.436005,256.653015,236.436005,253.828003,20.21701,44013900
28/02/2015,253.520004,254.692001,249.479004,254.263,5.212997,13949300
1/03/2015,254.283005,261.660004,245.932999,260.201996,15.727005,25213700
2/03/2015,260.356995,276.300995,258.312988,275.670013,17.988007,40465700
3/03/2015,275.04599,285.79599,268.161011,281.701996,17.634979,50461300
4/03/2015,281.98999,284.225006,268.126007,273.09201,16.098999,41383000
5/03/2015,272.739014,281.666992,264.769012,276.178009,16.89798,41302400
6/03/2015,275.600006,277.608002,270.015015,272.722992,7.592987,28918900
7/03/2015,272.294006,277.854004,270.132996,276.260986,7.721008,17825900
8/03/2015,276.433014,277.858002,272.565002,274.354004,5.293,22067900
9/03/2015,274.812012,292.700989,273.893005,289.606995,18.807984,59178200
10/03/2015,289.862,300.044006,289.743011,291.76001,10.300995,67770800
11/03/2015,291.524994,297.390991,290.507996,296.378998,6.882995,33963900
12/03/2015,296.127014,297.088013,292.412994,294.354004,4.675019,32585200
13/03/2015,294.118011,294.497986,285.337006,285.337006,9.16098,31421500
14/03/2015,284.441986,286.34201,280.976013,281.88501,5.365997,22612300
15/03/2015,281.424988,286.528992,280.996002,286.393005,5.53299,11970100
16/03/2015,285.684998,294.112,285.684998,290.592987,8.427002,21516100
17/03/2015,290.595001,292.36499,284.373993,285.505005,7.990997,21497200
18/03/2015,285.066986,285.335999,249.869995,256.299011,35.466004,57008000
19/03/2015,255.880005,264.243988,248.636002,260.928009,15.607986,52732000
20/03/2015,260.955994,264.847992,259.161987,261.748993,5.686005,18456700
21/03/2015,261.644012,262.196014,255.649994,260.024994,6.54602,17130100
22/03/2015,259.916992,269.747009,259.589996,267.959991,10.157013,18438100
23/03/2015,267.894989,277.296997,261.744995,266.73999,15.552002,22811900
24/03/2015,266.576996,267.002991,244.154999,245.595001,22.847992,40073700
25/03/2015,247.472,249.190002,236.514999,246.197006,12.675003,35866900
26/03/2015,246.276001,254.354004,244.904999,248.531998,9.449005,25730000
27/03/2015,248.565994,256.811005,245.212997,247.029007,11.598008,17274900
28/03/2015,246.975006,254.205002,246.975006,252.798004,7.229996,16040900
29/03/2015,252.740005,253.139008,240.850006,242.712997,12.289002,21699400
